id,category
0,Overall Patient Satisfaction
1,Reception Staff Interaction
2,Follow-Up and Continuity of Care
3,Reception Staff Interaction
4,Patient Safety
5,Telephone Service
6,Overall Patient Satisfaction
7,Reception Staff Interaction
8,Follow-Up and Continuity of Care
9,Reception Staff Interaction
10,Reception Staff Interaction
11,Reception Staff Interaction
12,Reception Staff Interaction
13,Follow-Up and Continuity of Care
14,Reception Staff Interaction
15,Reception Staff Interaction
16,Test Results
16,Test Results
16,Test Results
17,Reception Staff Interaction
17,Reception Staff Interaction
17,Reception Staff Interaction
18,Telephone Service
18,Telephone Service
18,Telephone Service
19,Reception Staff Interaction
19,Reception Staff Interaction
19,Reception Staff Interaction
20,Patient-Doctor Communication
20,Patient-Doctor Communication
20,Patient-Doctor Communication
21,Patient-Doctor Communication
21,Patient-Doctor Communication
21,Patient-Doctor Communication
22,Telephone Service
22,Telephone Service
22,Telephone Service
23,Telephone Service
23,Telephone Service
23,Telephone Service
24,Reception Staff Interaction
24,Reception Staff Interaction
24,Reception Staff Interaction
25,Telephone Service
25,Telephone Service
25,Telephone Service
26,Telephone Service
26,Telephone Service
26,Telephone Service
27,Patient-Doctor Communication
27,Patient-Doctor Communication
27,Patient-Doctor Communication
28,Reception Staff Interaction
28,Reception Staff Interaction
28,Reception Staff Interaction
29,Prescription and Medication Management
29,Prescription and Medication Management
29,Prescription and Medication Management
30,Reception Staff Interaction
30,Reception Staff Interaction
30,Reception Staff Interaction
31,Follow-Up and Continuity of Care
31,Follow-Up and Continuity of Care
31,Follow-Up and Continuity of Care
32,Test Results
32,Test Results
32,Test Results
33,Reception Staff Interaction
33,Reception Staff Interaction
33,Reception Staff Interaction
34,Follow-Up and Continuity of Care
34,Follow-Up and Continuity of Care
34,Follow-Up and Continuity of Care
35,Telephone Service
35,Telephone Service
35,Telephone Service
36,Telephone Service
36,Telephone Service
36,Telephone Service
37,Reception Staff Interaction
37,Reception Staff Interaction
37,Reception Staff Interaction
38,Reception Staff Interaction
38,Reception Staff Interaction
38,Reception Staff Interaction
39,Telephone Service
39,Telephone Service
39,Telephone Service
40,Telephone Service
40,Telephone Service
40,Telephone Service
41,Telephone Service
41,Telephone Service
41,Telephone Service
42,Patient-Doctor Communication
42,Patient-Doctor Communication
42,Patient-Doctor Communication
43,Patient-Doctor Communication
43,Patient-Doctor Communication
43,Patient-Doctor Communication
44,Reception Staff Interaction
44,Reception Staff Interaction
44,Reception Staff Interaction
45,Patient-Doctor Communication
45,Patient-Doctor Communication
45,Patient-Doctor Communication
46,Patient-Doctor Communication
46,Patient-Doctor Communication
